Id	Run	Film	Type	CanBeEmpty	Start	End	Diff
1	c00r01	1	EXT	true	00:00:00,000	00:01:02,000	00:00:00,000
2	c01r01	1	EXT	false	00:10:23,569	00:10:52,000	-00:08:47,794
3	c01r02	1	EXT	false	00:10:14,600	00:10:23,000	-00:08:06,131
4	c01r03	1	EXT	false	00:10:05,600	00:10:13,000	-00:07:46,857
5	c01r04	1	EXT	false	00:01:38,600	00:01:42,000	00:00:49,160
6	c01r05	1	EXT	false	00:13:47,750	00:13:50,000	-00:11:15,815
7	c01r06	1	EXT	false	00:13:50,000	00:17:07,000	-00:11:14,680
8	c01r07	1	EXT	false	00:17:17,000	00:18:24,600	-00:11:25,383
9	c01r08	1	EXT	false	00:18:45,000	00:23:39,000	-00:11:45,304
10	c01r09	1	EXT	false	00:24:08,500	00:25:50,000	-00:12:14,085
11	c01r10	1	EXT	false	00:25:55,000	00:26:40,000	-00:12:18,582
12	c01r11	1	EXT	false	00:26:55,000	00:27:22,750	-00:12:31,305
13	c01r12	1	EXT	false	00:27:42,000	00:30:32,000	-00:12:44,024
14	c01r13	1	EXT	false	00:30:36,100	00:46:30,000	-00:12:48,233
15	c02r01	1	EXT	false	00:46:48,000	00:47:50,000	-00:13:04,671
16	c02r02	1	EXT	false	00:53:15,000	00:53:56,000	-00:18:19,059
17	c02r03	1	EXT	false	00:54:08,000	00:54:25,000	-00:18:31,043
18	c02r04	1	EXT	false	00:58:20,000	01:02:55,000	-00:22:23,861
19	c02r05	1	EXT	false	01:02:57,550	01:03:00,000	-00:22:26,868
20	c02r06	1	EXT	false	01:03:08,750	01:03:32,700	-00:22:35,409
21	c02r07	1	EXT	false	01:03:34,270	01:03:47,150	-00:22:36,802
22	c02r08	1	EXT	false	01:04:03,200	01:04:14,500	-00:22:50,575
23	c02r09	1	EXT	false	01:04:32,750	01:06:17,000	-00:23:08,461
24	c02r10	1	EXT	true	01:06:50,000	01:06:50,000	-00:23:18,673
25	c02r11	1	EXT	false	01:06:59,000	01:09:30,000	-00:23:18,744
26	c02r12	1	EXT	false	01:09:51,400	01:14:42,000	-00:23:40,013
27	c03r01	1	EXT	false	01:25:15,000	01:29:30,000	-00:33:20,930
28	c03r02	1	EXT	false	01:29:46,000	01:31:00,500	-00:33:33,983
29	c03r03	1	EXT	false	01:33:09,800	01:33:13,600	-00:35:41,903
30	c03r04	1	EXT	false	01:31:48,000	01:32:35,000	-00:34:14,151
31	c03r05	1	EXT	false	01:32:39,500	01:32:47,000	-00:34:17,321
32	c03r06	1	EXT	false	01:34:11,000	01:37:11,500	-00:35:40,746
33	c03r07	1	EXT	false	01:41:41,000	01:41:57,000	-00:40:08,786
34	c03r08	1	EXT	true	01:42:02,000	01:42:11,000	-00:40:15,042
35	c03r09	1	EXT	false	01:42:18,000	01:43:03,000	-00:40:17,298
36	c03r10	1	EXT	false	01:43:06,000	01:43:27,250	-00:40:20,048
37	c03r11	1	EXT	false	01:39:55,000	01:41:19,000	-00:36:45,923
38	c04r01	1	EXT	false	01:50:25,000	01:50:57,000	-00:45:47,915
39	c04r02	1	EXT	false	01:54:05,000	01:54:22,000	-00:48:23,368
40	c04r03	1	EXT	false	01:54:31,365	01:54:33,000	-00:48:29,920
41	c04r04	1	EXT	false	01:57:23,000	01:58:41,000	-00:51:17,368
42	c04r05	1	EXT	false	01:59:10,000	02:01:50,000	-00:51:44,484
43	c04r06	1	EXT	false	02:01:56,000	02:04:03,000	-00:51:54,099
44	c04r07	1	EXT	false	02:05:00,000	02:06:00,000	-00:52:26,152
45	c04r08	1	EXT	false	02:06:29,000	02:06:51,000	-00:52:56,557
46	c04r09	1	EXT	false	02:07:14,000	02:08:55,000	-00:53:12,194
47	c05r01	1	EXT	false	02:11:37,000	02:12:20,000	-00:55:22,659
48	c05r02	1	EXT	false	02:12:55,000	02:23:38,000	-00:55:23,916
49	c05r03	1	EXT	false	02:23:41,750	02:25:01,000	-00:55:25,678
50	c05r04	1	EXT	false	02:25:11,500	02:26:00,000	-00:55:35,514
51	c05r05	1	EXT	false	02:26:07,000	02:26:41,000	-00:55:36,834
52	c05r06	1	EXT	false	02:28:47,000	02:29:17,000	-00:57:13,117
53	c06r01	1	EXT	false	02:30:53,000	02:34:34,000	-00:58:49,550
54	c06r02	1	EXT	false	02:34:43,000	02:35:32,000	-00:58:56,348
55	c06r03	1	EXT	false	02:36:04,000	02:36:32,000	-00:59:11,230
56	c06r04	1	EXT	false	02:36:35,500	02:37:04,000	-00:59:24,458
57	c06r05	1	EXT	false	02:37:11,000	02:37:15,000	-00:59:32,633
58	c06r06	1	EXT	false	02:37:49,000	02:38:10,000	-00:59:40,228
59	c06r07	1	EXT	false	02:39:35,000	02:39:57,000	-01:00:41,281
60	c06r08	1	EXT	false	02:40:28,000	02:40:48,000	-01:00:47,413
61	c06r09	1	EXT	false	02:40:54,750	02:41:21,000	-01:00:51,873
62	c06r10	1	EXT	false	02:45:03,000	02:45:20,000	-01:04:24,259
63	c06r11	1	EXT	false	02:50:30,000	02:51:15,000	-01:07:57,879
64	c06r12	1	EXT	true	02:54:57,000	02:55:45,000	-01:11:35,080
65	c07r01	2	EXT	true	00:07:54,000	00:08:18,000	01:36:16,851
66	c07r02	2	EXT	false	00:08:32,000	00:09:38,000	01:36:03,837
67	c07r03	2	EXT	false	00:10:08,000	00:10:23,000	01:35:43,102
68	c07r04	2	EXT	true	00:10:41,000	00:10:47,000	01:35:30,643
69	c07r05	2	EXT	false	00:11:00,000	00:12:00,000	01:35:23,455
70	c07r06	2	EXT	false	00:15:41,000	00:21:04,000	01:31:46,079
71	c07r07	2	EXT	false	00:21:13,750	00:21:20,500	01:31:36,985
72	c07r08	2	EXT	false	00:21:39,000	00:23:30,000	01:31:19,300
73	c07r09	2	EXT	false	00:25:33,500	00:25:55,000	01:29:15,008
74	c07r10	2	EXT	false	00:26:10,000	00:26:57,000	01:29:15,008
75	c07r11	2	EXT	false	00:28:04,000	00:28:12,000	01:28:36,581
76	c08r01	2	EXT	false	00:29:03,250	00:31:31,000	01:27:45,956
77	c08r02	2	EXT	false	00:31:37,000	00:31:45,000	01:27:41,784
78	c08r03	2	EXT	false	00:31:59,000	00:32:15,000	01:27:36,120
79	c08r04	2	EXT	false	00:32:46,000	00:32:51,000	01:27:14,180
80	c08r05	2	EXT	false	00:34:00,000	00:34:25,000	01:26:49,584
81	c08r06	2	EXT	false	00:34:59,750	00:35:33,000	01:26:28,500
82	c08r07	2	EXT	false	00:36:43,000	00:43:12,000	01:25:33,367
83	c08r08	2	EXT	true	00:43:32,500	00:43:38,000	01:25:13,929
84	c08r09	2	EXT	false	00:44:25,000	00:44:38,000	01:24:31,588
85	c08r10	2	EXT	false	00:45:40,000	00:45:41,500	01:23:30,826
86	c09r01	2	EXT	false	00:46:02,000	00:46:07,000	01:23:16,439
87	c09r02	2	EXT	false	00:46:44,000	00:46:50,000	01:22:40,729
88	c09r03	2	EXT	false	00:47:22,000	00:47:30,000	01:22:11,037
89	c09r04	2	EXT	false	00:47:35,000	00:48:20,000	01:22:06,121
90	c09r05	2	EXT	false	00:49:46,000	00:52:03,000	01:21:14,692
91	c09r06	2	EXT	false	00:52:56,000	00:53:20,000	01:20:28,097
92	c09r07	2	EXT	false	00:58:07,000	01:01:39,000	01:15:42,236
93	c09r08	2	EXT	false	01:01:47,000	01:02:15,000	01:15:36,232
94	c10r01	2	EXT	false	01:12:34,000	01:12:43,000	01:05:35,131
95	c10r02	2	EXT	false	01:13:48,000	01:15:43,000	01:04:54,051
96	c10r03	2	EXT	false	01:20:08,000	01:22:47,000	01:00:46,797
97	c10r04	2	EXT	false	01:28:10,000	01:28:55,000	00:55:40,032
98	c10r05	2	EXT	false	01:32:00,000	01:32:50,500	00:52:42,076
99	c10r06	2	EXT	false	01:33:05,000	01:33:49,000	00:52:36,516
100	c10r07	2	EXT	false	01:34:30,000	01:34:36,000	00:52:06,536
101	c10r08	2	EXT	false	01:34:45,750	01:35:07,000	00:51:57,444
102	c10r09	2	EXT	false	01:35:31,000	01:36:00,000	00:51:35,460
103	c10r10	2	THE	false	01:20:49,000	01:22:30,000	01:06:47,516
104	c10r11	2	EXT	false	01:39:54,000	01:42:42,000	00:49:25,075
105	c10r12	2	EXT	false	01:43:20,000	01:44:02,000	00:48:43,084
106	c10r13	2	EXT	false	01:44:19,000	01:45:08,000	00:48:27,144
107	c10r14	2	EXT	true	01:46:36,000	01:46:43,000	00:47:06,711
108	c10r15	2	EXT	false	01:47:05,000	01:47:10,000	00:46:45,917
109	c11r01	2	EXT	false	01:49:20,000	01:50:30,000	00:45:11,385
110	c11r02	2	EXT	false	01:52:38,000	01:53:08,000	00:43:02,734
111	c11r03	2	EXT	false	01:59:18,000	02:01:48,000	00:36:54,245
112	c11r04	2	EXT	true	02:03:25,000	02:03:40,000	00:35:25,565
113	c11r05	2	EXT	true	02:04:50,000	02:05:12,000	00:34:40,322
114	c12r01	2	EXT	false	02:05:17,000	02:07:04,000	00:34:36,279
115	c12r02	2	EXT	false	02:07:39,000	02:09:03,000	00:34:07,864
116	c12r03	2	EXT	false	02:13:00,000	02:18:29,000	00:30:40,204
117	c12r04	2	EXT	false	02:18:34,000	02:21:46,000	00:30:35,703
118	c12r05	2	EXT	false	02:22:44,000	02:22:56,000	00:29:37,856
119	c12r06	2	EXT	false	02:52:55,750	02:53:12,000	-00:00:22,148
120	c12r07	2	EXT	false	02:27:31,000	02:27:40,000	00:25:18,808
121	c12r08	2	EXT	false	02:22:57,000	02:23:07,000	00:30:02,213
122	c12r09	2	EXT	false	02:27:42,000	02:27:55,000	00:25:27,645
123	c12r10	2	EXT	false	02:28:44,000	02:29:18,000	00:24:40,094
124	c12r11	2	EXT	false	02:51:34,000	02:51:55,000	00:02:42,236
125	c12r12	2	EXT	false	02:52:03,000	02:52:29,000	00:02:34,608
126	c13r01	2	EXT	false	02:21:46,000	02:22:00,500	00:33:19,036
127	c14r01	2	EXT	false	02:22:06,500	02:22:12,000	00:33:18,701
128	c14r02	2	EXT	false	02:55:38,000	02:55:55,000	00:00:00,079
129	c14r03	2	EXT	false	02:22:22,000	02:22:43,000	00:33:32,048
130	c14r04	3	EXT	true	00:04:35,000	00:05:10,000	02:51:56,379
131	c14r05	3	EXT	false	00:09:06,000	00:09:13,000	02:48:58,238
132	c14r06	3	EXT	false	00:10:17,000	00:10:39,000	02:48:02,879
133	c14r07	3	EXT	true	00:11:15,000	00:11:36,000	02:47:41,358
134	c14r08	3	EXT	false	00:11:52,000	00:12:37,000	02:47:40,865
135	c14r09	3	EXT	true	00:13:19,000	00:13:24,000	02:47:01,277
136	c14r10	3	EXT	false	00:16:37,000	00:17:35,000	02:43:58,557
137	c14r11	3	EXT	false	00:18:30,000	00:18:53,000	02:43:03,124
138	c15r01	3	EXT	false	00:22:06,000	00:22:24,000	02:40:14,795
139	c15r02	3	EXT	false	00:36:46,000	00:37:23,000	02:26:17,706
140	c15r03	3	EXT	false	00:37:37,000	00:37:56,000	02:26:11,199
141	c15r04	3	EXT	false	00:39:20,000	00:41:00,000	02:24:55,089
142	c15r05	3	EXT	false	00:42:04,000	00:43:02,000	02:24:01,410
143	c15r06	3	EXT	false	00:43:26,000	00:43:35,000	02:23:47,639
144	c15r07	3	EXT	false	00:44:34,000	00:49:11,000	02:23:26,621
145	c15r08	3	EXT	false	00:49:22,000	00:49:29,000	02:23:23,615
146	c15r09	3	EXT	false	00:49:43,000	00:53:07,000	02:23:21,826
147	c15r10	3	EXT	false	00:56:18,000	00:56:32,000	02:20:12,137
148	c15r11	3	EXT	false	00:57:05,000	00:57:38,000	02:19:47,779
149	c15r12	3	EXT	false	00:25:56,000	00:26:04,000	02:51:40,363
150	c16r01	3	EXT	false	01:00:26,000	01:03:01,000	02:17:18,334
151	c16r02	3	EXT	false	01:03:22,500	01:05:43,000	02:16:57,018
152	c17r01	3	EXT	false	01:07:07,000	01:11:11,000	02:16:25,242
153	c17r02	3	EXT	false	01:11:27,000	01:12:29,000	02:16:09,891
154	c17r03	3	THE	false	01:07:25,000	01:09:58,000	02:21:19,448
155	c17r04	3	EXT	true	01:19:41,000	01:19:47,000	02:11:30,438
156	c17r05	3	THE	false	01:10:08,000	01:10:12,000	02:21:06,262
157	c17r06	3	THE	false	01:10:24,000	01:10:35,000	02:20:53,587
158	c17r07	3	THE	false	01:10:39,000	01:12:21,000	02:20:49,203
159	c17r08	3	EXT	false	01:19:52,000	01:20:16,000	02:13:23,394
160	c17r09	3	EXT	false	01:20:36,000	01:20:53,000	02:13:16,928
161	c17r10	3	EXT	false	01:21:04,000	01:21:07,000	02:13:05,708
162	c17r11	3	EXT	false	01:21:18,000	01:21:28,000	02:13:01,076
163	c17r12	3	EXT	false	01:22:56,750	01:23:28,000	02:11:46,254
164	c17r13	3	EXT	true	01:24:58,000	01:25:19,000	02:10:54,497
165	c17r14	3	EXT	false	01:27:26,000	01:27:38,000	02:09:29,737
166	c17r15	3	EXT	false	01:27:41,000	01:27:44,000	02:09:20,403
167	c17r16	3	EXT	false	01:27:56,000	01:28:13,000	02:09:10,733
168	c17r17	3	EXT	false	01:28:45,000	01:29:39,000	02:08:38,776
169	c17r18	3	EXT	false	01:29:47,000	01:29:57,000	02:08:31,066
170	c17r19	3	EXT	false	01:33:04,000	01:35:28,000	02:05:30,672
171	c17r20	3	EXT	false	01:35:31,000	01:35:47,000	02:05:26,552
172	c17r21	3	EXT	false	01:35:57,000	01:36:30,000	02:05:23,702
173	c17r22	3	EXT	false	01:37:10,500	01:37:18,000	02:04:57,111
174	c17r23	3	EXT	false	01:47:14,000	01:47:22,000	01:55:09,395
175	c17r24	3	EXT	false	01:57:17,000	01:57:34,000	01:45:13,579
176	c17r25	3	EXT	false	01:37:21,000	01:37:38,000	02:05:35,843
177	c17r26	3	EXT	false	01:40:07,000	01:40:17,000	02:03:08,024
178	c17r27	3	EXT	false	01:49:15,000	01:49:17,000	01:54:47,525
179	c17r28	3	EXT	false	01:49:32,000	01:49:40,000	01:54:34,607
